time,concentration_of_chlorophyll_in_water,chl
1976-01-13,1.6,
1976-03-30,17.1,
1976-04-14,9.3,
1976-06-09,6.0,
1976-07-29,12.8,
1976-08-10,20.9,
1976-10-18,4.7,
1976-11-09,4.7,
1976-12-22,5.4,
1977-01-05,1.6,
1977-02-15,2.6,
1977-04-20,5.9,
1977-05-03,8.2,
1977-06-13,3.8,
1977-07-12,9.1,
1977-08-09,5.7,
1977-09-26,11.0,
1977-10-25,6.5,
1977-11-22,7.1,
1977-12-20,14.5,
1978-01-10,5.0,
1978-02-21,3.7,
1978-03-13,3.8,
1978-04-13,14.2,
1978-05-09,40.6,
1978-06-20,12.8,
1978-07-18,15.0,
1978-08-07,4.0,
1978-09-12,11.5,
1978-10-17,4.8,
1978-11-14,2.5,
1979-02-06,3.3,
1979-03-13,4.9,
1979-04-24,34.9,
1979-05-28,13.2,
1979-06-19,12.9,
1979-07-10,6.5,
1979-08-07,20.1,
1979-09-04,13.6,
1979-10-02,7.8,
1979-11-06,7.5,
1979-12-06,1.7,
1980-01-15,1.5,
1980-02-12,1.9,
1980-03-18,11.0,
1980-04-15,22.5,
1980-05-06,23.6,
1980-06-02,17.1,
1980-06-24,1.0,
1980-08-12,24.3,
1980-09-09,15.2,
1980-10-14,5.9,
1980-11-03,6.6,
1980-11-24,3.5,
1981-01-20,2.3,
1981-04-21,33.7,
1981-05-04,36.7,
1981-06-02,15.3,
1981-07-14,3.8,
1981-08-18,13.0,
1981-09-29,5.0,
1981-10-27,1.4,
1981-11-26,2.4,
1981-12-08,1.9,
1982-01-25,0.5,
1982-02-08,5.1,
1982-03-08,1.1,
1982-04-05,18.0,
1982-05-10,13.1,
1982-06-07,27.6,
1982-07-05,16.8,
1982-07-19,11.2,
1982-08-30,8.1,
1982-10-04,3.3,
1982-11-01,3.0,
1982-12-13,2.1,
1983-01-10,2.6,
1983-02-14,7.8,
1983-03-14,15.4,
1983-04-11,15.3,
1983-05-09,50.1,
1983-06-20,26.2,
1983-07-11,18.4,
1983-08-08,15.8,
1983-09-06,8.9,
1983-10-03,4.0,
1983-11-01,1.7,
1983-12-05,3.8,
1984-01-18,4.2,
1984-02-14,4.4,
1984-03-13,7.7,
1984-04-10,17.2,
1984-05-09,22.0,
1984-06-06,17.0,
1984-07-10,27.2,
1984-08-07,10.6,
1984-09-05,10.2,
1984-10-03,4.5,
1984-11-06,3.8,
1984-12-04,1.4,
1985-01-30,2.5,
1985-03-13,7.5,
1985-04-16,28.0,
1985-05-14,15.5,
1985-06-12,5.2,
1985-07-10,9.3,
1985-08-13,6.9,
1985-09-10,11.1,
1985-12-10,3.1,
1986-04-03,13.2,
1986-05-14,63.8,
1986-06-05,12.3,
1986-07-02,9.9,
1986-07-31,10.7,
1986-09-02,6.3,
1986-09-30,12.7,
1986-11-13,1.1,
1986-12-11,1.5,
1987-02-11,2.6,
1987-03-12,10.5,
1987-05-12,34.9,
1987-06-10,39.6,
1987-07-07,9.8,
1987-10-05,11.8,
1987-11-02,0.5,
1987-12-01,1.1,
1988-01-19,1.7,
1988-02-15,3.8,
1988-03-15,10.6,
1988-04-13,17.4,
1988-05-16,26.2,
1988-06-13,11.8,
1988-07-11,20.3,
1988-08-09,39.6,
1988-09-07,5.8,
1988-10-06,2.6,
